quarter,sub_millions,avg_tv_length,avg_movie_length,release_year,length,tv_show,movie,dir_in_2,dir_in_3,dir_in_6,act_in_3,act_in_5,act_in_10,United States,India,United Kingdom,Canada,France,Japan,Spain,South Korea,Germany,Mexico,International Movies,Dramas,Comedies,International TV Shows,Documentaries,Action & Adventure,TV Dramas,Independent Movies,Children & Family Movies,Romantic Movies,TV Comedies,Thrillers,Crime TV Shows,Kids' TV,Docuseries,Music & Musicals,Romantic TV Shows,Horror Movies,Stand-Up Comedy,Reality TV,PG-13,TV-MA,PG,TV-14,TV-PG,TV-Y,TV-Y7,R,TV-G,G,NC-17,NR,TV-Y7-FV,UR,total
2013Q3,38.01,4.5,75.0,6033,84,2,1,1,1,1,3,3,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,3
2013Q4,41.43,3.5,85.2,14088,433,2,5,1,0,0,6,5,3,6,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,4,0,0,1,1,1,0,0,0,3,1,2,0,3,0,0,7
2014Q1,46.13,3.0,90.0,8053,273,1,3,2,0,0,2,2,1,4,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,4
2014Q2,47.99,8.0,56.5,6039,121,1,2,1,1,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
2014Q4,54.48,4.333333333333333,73.27272727272727,28130,819,3,11,8,4,2,10,8,5,12,0,1,2,0,0,0,0,0,0,1,1,4,0,2,0,1,0,3,0,2,1,1,2,0,0,0,0,4,0,0,8,4,0,2,1,0,0,1,5,0,0,0,0,14
2015Q1,59.62,4.0,71.57142857142857,20141,513,3,7,1,1,0,4,4,1,7,0,1,0,2,0,0,0,0,0,1,2,0,0,4,1,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,5,1,2,1,1,0,1,0,1,0,1,0,0,10
2015Q2,62.08,2.5714285714285716,90.7,34207,925,7,10,7,3,2,11,10,6,12,0,3,2,0,0,0,0,0,1,1,3,4,1,3,1,1,1,2,0,2,0,0,3,3,2,1,0,3,0,0,6,3,3,2,3,2,0,1,5,0,0,1,0,17
2015Q3,66.02,2.6666666666666665,89.6923076923077,32232,1174,3,13,8,4,2,14,13,7,12,0,1,1,3,0,0,0,2,0,2,3,3,0,3,1,0,2,3,1,1,1,0,1,0,2,0,1,3,0,2,4,4,3,1,2,2,2,1,5,0,0,0,0,16
2015Q4,70.84,2.3846153846153846,81.0,78540,2137,13,26,11,8,1,34,26,15,26,0,3,3,4,1,0,0,0,0,6,12,13,2,3,1,5,4,6,0,5,2,1,4,2,2,0,1,4,0,0,14,4,6,4,7,2,5,3,7,0,4,1,0,39
2016Q1,77.71,1.5405405405405406,69.76315789473684,150803,2708,37,38,14,10,4,66,52,28,58,0,9,10,9,9,5,0,5,1,7,6,16,3,5,4,1,1,11,3,5,3,2,26,5,1,1,1,4,0,2,10,12,7,8,33,30,8,4,17,0,2,1,0,75
2016Q2,79.9,1.631578947368421,91.44117647058823,106741,3140,19,34,18,10,3,34,23,14,24,1,8,6,3,3,4,1,2,2,13,12,9,8,15,5,6,3,0,1,1,2,2,4,4,3,2,1,4,1,2,19,8,11,6,4,2,10,1,9,0,7,0,0,53
2016Q3,83.28,1.7435897435897436,83.61971830985915,221499,6005,39,71,25,16,7,62,51,14,49,3,22,4,2,3,3,1,1,0,20,26,20,17,22,4,11,9,2,1,11,7,7,5,11,3,10,3,17,1,0,56,14,25,14,6,4,7,1,15,1,5,0,0,110
2016Q4,89.09,1.2962962962962963,85.81818181818181,384559,9545,81,110,42,22,7,130,95,42,72,9,15,10,15,14,5,9,6,6,42,64,43,58,26,13,25,18,7,2,23,7,16,5,8,6,29,3,15,3,2,79,25,56,22,11,8,16,3,29,0,13,0,0,191
2017Q1,94.36,1.3333333333333333,91.65714285714286,560941,19340,69,210,78,51,16,182,138,66,114,31,40,8,13,4,9,10,11,10,107,93,56,34,60,19,14,36,12,15,14,14,13,6,20,10,13,8,17,4,5,104,64,63,52,8,4,31,7,73,0,16,0,0,279
2017Q2,99.04,1.6835443037974684,95.46907216494846,549830,18654,79,194,87,48,10,181,134,69,107,46,30,16,10,7,14,21,8,7,89,102,52,54,59,21,28,23,13,13,14,19,13,10,7,12,20,4,17,2,5,109,46,81,38,13,12,19,4,51,0,3,0,0,273
2017Q3,104.02,1.8653846153846154,96.8128078817734,618035,19847,104,203,82,52,26,216,163,78,115,20,36,19,13,12,13,6,6,7,85,123,58,67,38,39,58,28,22,14,13,22,25,9,14,10,14,10,20,4,7,123,40,98,31,23,12,17,4,45,1,1,1,1,307
2017Q4,110.64,1.7216494845360826,98.41379310344827,662714,22999,97,232,96,51,30,230,192,112,126,65,28,28,17,14,6,6,8,12,114,105,73,50,49,34,30,29,31,21,21,18,12,19,15,21,13,13,19,5,10,111,65,84,48,37,18,24,8,73,0,4,0,0,329
2018Q1,118.9,2.0843373493975905,102.2875816993464,783341,31473,83,306,128,82,25,271,219,121,146,105,38,19,16,11,7,16,10,4,160,155,72,48,54,41,27,40,22,22,16,33,23,10,14,29,9,17,26,3,10,164,61,101,45,20,19,31,10,73,0,7,0,0,389
2018Q2,124.35,1.6506024096385543,95.61835748792271,584254,19930,83,207,76,45,20,205,151,72,114,40,23,17,18,8,12,5,8,9,92,108,69,48,31,29,26,32,18,21,25,14,15,17,6,6,11,9,28,3,12,134,41,62,23,22,7,15,7,57,0,0,0,0,290
2018Q3,130.42,1.6057692307692308,103.07738095238095,885729,34801,104,336,168,90,26,329,233,124,163,86,28,18,15,12,15,6,7,11,205,180,123,54,35,64,26,54,16,32,22,31,21,17,22,21,9,31,19,12,13,157,71,131,48,17,12,56,8,79,0,6,0,0,440
2018Q4,139.26,1.5070422535211268,103.41494845360825,1067560,40339,142,388,179,111,35,393,306,175,177,118,58,27,15,13,9,6,9,7,211,197,133,64,47,60,30,37,29,33,37,38,26,21,22,40,15,21,34,23,18,195,97,157,68,27,8,41,12,110,0,1,1,0,530
2019Q1,148.86,1.6444444444444444,100.45266272189349,953118,34175,135,338,157,88,43,349,274,126,179,42,57,17,23,14,18,8,7,7,155,208,112,76,42,56,47,65,36,32,23,26,26,15,30,17,23,25,19,8,25,185,90,122,44,18,9,49,8,98,1,2,1,0,473
2019Q2,151.56,1.583941605839416,97.34939759036145,945452,32537,137,332,142,91,29,345,260,140,172,48,33,20,15,20,11,10,11,11,153,162,139,81,48,46,43,50,29,37,39,34,30,17,14,23,20,28,15,11,18,205,75,121,39,22,11,42,4,79,0,1,0,1,469
2019Q3,158.33,1.5642857142857143,95.39483394833948,828191,26071,140,271,144,87,26,279,223,123,202,30,45,17,18,11,13,17,10,5,102,117,83,74,54,44,34,33,25,21,14,36,26,22,26,13,18,15,18,20,26,152,85,94,43,26,16,32,19,107,0,0,0,1,411
2019Q4,167.09,1.5055555555555555,103.86335403726709,1332914,50437,180,483,230,143,46,511,415,269,303,98,56,30,23,29,11,24,17,16,200,241,203,104,44,96,40,53,57,60,41,52,28,29,19,24,35,29,23,21,66,194,164,157,72,43,19,91,9,178,0,1,0,0,663
2020Q1,182.86,1.4892086330935252,100.87066246056783,918615,32183,139,317,150,78,21,356,284,161,244,38,38,25,23,24,12,14,23,11,92,166,123,72,23,61,44,43,45,37,25,40,31,27,19,17,17,29,16,15,39,161,90,82,25,38,15,72,7,103,0,0,0,0,456
2020Q2,192.95,2.090909090909091,106.81268011527378,987091,37363,143,347,188,114,39,388,279,156,174,59,34,26,23,24,9,17,9,8,202,200,155,72,28,55,36,42,38,48,31,34,28,17,15,12,13,16,16,17,24,183,80,151,34,27,9,29,19,100,0,0,0,0,490
2020Q3,195.15,1.937062937062937,101.61666666666666,893340,30762,143,300,126,75,13,323,267,151,187,67,34,22,25,20,13,8,15,4,148,161,124,58,37,52,36,40,37,34,28,39,20,29,23,22,14,9,13,24,27,171,86,90,44,40,19,37,18,105,0,0,0,0,443
2020Q4,203.66,1.8823529411764706,96.596875,987747,31231,170,320,158,99,30,363,263,146,223,35,40,37,26,11,9,17,11,7,133,172,140,75,30,45,48,23,50,54,42,33,23,35,23,22,23,23,11,24,32,156,98,116,43,52,12,50,17,116,0,0,0,0,490
2021Q1,207.64,1.8547008547008548,102.80508474576271,711719,24479,117,236,97,53,15,266,201,105,181,24,37,12,20,8,14,12,11,7,94,137,104,44,27,42,28,26,23,26,27,26,20,25,21,12,10,9,13,12,33,107,64,85,21,27,15,52,17,82,0,0,0,0,353
2021Q2,209.18,1.706896551724138,101.3229461756374,1062502,36064,174,353,166,107,44,378,291,170,208,37,34,22,19,18,10,9,10,9,159,205,139,85,37,80,54,37,40,32,35,51,26,25,23,26,25,20,5,18,37,200,83,117,30,49,28,62,14,99,0,0,0,0,527
2021Q3,213.56,2.2149532710280373,104.18564356435644,1244623,42565,214,404,214,141,40,480,403,236,238,44,48,25,21,27,9,8,19,5,155,207,174,100,35,111,55,26,59,56,56,48,32,48,27,18,25,29,7,24,76,182,154,124,46,68,44,76,13,168,0,0,0,0,618
